BASIC INDUSTRIES	2008	2315405	-0.050131389643	7124.09400267
BASIC INDUSTRIES	2009	2440724	0.0348287578952	4727.91920472
BASIC INDUSTRIES	2010	2017339	0.217900355607	6126.05228338
BASIC INDUSTRIES	2011	1853541	-0.586007636167	8535.55187455
BASIC INDUSTRIES	2012	1552641	-0.687885248968	8694.81899382
BASIC INDUSTRIES	2013	1514508	0.103226361955	28486.4249861
BASIC INDUSTRIES	2014	1460847	-0.719021325857	24380.2074047
BASIC INDUSTRIES	2015	1610008	-0.481011719633	9538.71135927
BASIC INDUSTRIES	2016	1937797	0.138293577492	7721.85529589
BASIC INDUSTRIES	2017	1557227	0.152790107615	9101.40840867
BASIC INDUSTRIES	2018	1428835	-0.0307952148952	9883.13711755
CAPITAL GOODS	2008	1374880	-0.483138325411	7290.78474163
CAPITAL GOODS	2009	1475531	0.287272416465	5181.69883919
CAPITAL GOODS	2010	1343253	0.212179539669	6858.20731673
CAPITAL GOODS	2011	1284086	-0.124305543599	7994.03301785
CAPITAL GOODS	2012	1072147	0.173167868699	8345.53584817
CAPITAL GOODS	2013	983379	0.345005998709	10836.2435205
CAPITAL GOODS	2014	910038	0.0434373760682	13176.9000287
CAPITAL GOODS	2015	905871	-0.018021760866	13598.0294649
CAPITAL GOODS	2016	914705	0.185928867319	13917.4225977
CAPITAL GOODS	2017	794086	0.343410474488	18508.0178476
CAPITAL GOODS	2018	856807	-0.0145651368001	21173.2494272
CONSUMER DURABLES	2008	776180	-0.42768980405	2189.92255956
CONSUMER DURABLES	2009	712392	0.390510048501	1747.32241677
CONSUMER DURABLES	2010	575047	-0.187200982833	2319.20971199
CONSUMER DURABLES	2011	585705	-0.370546555725	2433.79865693
CONSUMER DURABLES	2012	495359	0.178602734597	2480.46409475
CONSUMER DURABLES	2013	457943	-0.421539963539	3853.23620039
CONSUMER DURABLES	2014	450174	-0.174095759421	5654.13193093
CONSUMER DURABLES	2015	411710	-0.11993118562	4582.81173929
CONSUMER DURABLES	2016	470172	0.160394636203	4483.03022801
CONSUMER DURABLES	2017	447708	0.103948904212	5090.83256066
CONSUMER DURABLES	2018	510230	0.0759410176156	5460.06874988
CONSUMER NON-DURABLES	2008	1845606	-0.410688019594	3544.61653806
CONSUMER NON-DURABLES	2009	1620150	0.302602963649	2906.41247554
CONSUMER NON-DURABLES	2010	1463892	0.198358386645	3912.14545376
CONSUMER NON-DURABLES	2011	1389254	-0.0205088153055	4490.1374646
CONSUMER NON-DURABLES	2012	1237583	0.144375121735	4926.62507654
CONSUMER NON-DURABLES	2013	1063950	0.266070021946	6156.16918919
CONSUMER NON-DURABLES	2014	1104307	0.052127084111	6895.53944849
CONSUMER NON-DURABLES	2015	1153986	-0.0497812829011	7355.88580293
CONSUMER NON-DURABLES	2016	1185084	0.07339491083	7457.83985591
CONSUMER NON-DURABLES	2017	1176367	-0.0134999875675	8116.3535797
CONSUMER NON-DURABLES	2018	1223517	0.0747494530694	8946.74652087
CONSUMER SERVICES	2008	1881454	-0.486034762015	22138.2813515
CONSUMER SERVICES	2009	2073087	0.950609235044	21157.588544
CONSUMER SERVICES	2010	1781816	0.111677446329	49453.0627189
CONSUMER SERVICES	2011	1653583	-0.108148465122	37492.6261071
CONSUMER SERVICES	2012	1372133	-0.0253776356513	27089.0048495
CONSUMER SERVICES	2013	1264092	0.27361246667	34509.6718324
CONSUMER SERVICES	2014	1264233	-0.0887544165974	38172.425221
CONSUMER SERVICES	2015	1074200	-0.0937349131083	41133.5509649
CONSUMER SERVICES	2016	1112267	0.399407701198	40716.6998728
CONSUMER SERVICES	2017	1095181	-0.0105756768062	54719.3882087
CONSUMER SERVICES	2018	1169981	-0.63071415179	35257.5403486
ENERGY	2008	3409627	-0.518761458388	36666.6717687
ENERGY	2009	3219675	0.121150306849	15999.3316709
ENERGY	2010	2733173	0.430646013843	25226.0689571
ENERGY	2011	2359565	0.0650814327773	43458.5590842
ENERGY	2012	1959416	-0.0444243912415	37917.9842268
ENERGY	2013	1556606	0.22860101899	47800.2016473
ENERGY	2014	1882700	-0.474943814056	55216.8988355
ENERGY	2015	2345714	-0.736273913676	40040.2445175
ENERGY	2016	2571812	-0.0566601445366	20829.8356927
ENERGY	2017	2143303	-0.701305999963	9613.03758328
ENERGY	2018	2295534	0.0826130448165	7915.81553331
FINANCE	2008	1581469	-0.518153205276	21662.6561887
FINANCE	2009	2593964	0.127522227448	13922.7699645
FINANCE	2010	1691572	-0.0913821306837	36034.3395416
FINANCE	2011	1632986	-0.410748442712	35346.9027169
FINANCE	2012	1383857	-0.0486102630262	25982.5899229
FINANCE	2013	1029990	-0.837741413939	123322.785659
FINANCE	2014	867105	-0.542428310474	142897.296577
FINANCE	2015	848334	-0.460625516461	64329.3747733
FINANCE	2016	951087	-0.103981193193	45157.3266233
FINANCE	2017	751259	-0.404190899867	37018.6979478
FINANCE	2018	702434	0.0413671336544	34722.4909772
MISCELLANEOUS	2008	2119387	-0.4258693855	1852.93852718
MISCELLANEOUS	2009	1822593	-0.2621435698	1923.5141268
MISCELLANEOUS	2010	1589884	-0.325722389869	2496.37889334
MISCELLANEOUS	2011	1331125	-0.467408199195	3037.89158793
MISCELLANEOUS	2012	1152532	0.00258660015766	2961.55081842
MISCELLANEOUS	2013	1039611	0.490585648671	3883.90093555
MISCELLANEOUS	2014	1156757	0.0381890201391	4812.30307995
MISCELLANEOUS	2015	1017054	0.00225049521425	5329.45853776
MISCELLANEOUS	2016	1085262	0.143192913413	5556.65176014
MISCELLANEOUS	2017	981447	0.269024440442	5836.16155442
MISCELLANEOUS	2018	1108339	0.103985563932	8512.86945829
TECHNOLOGY	2008	3948537	-0.636649279145	8490.55133634
TECHNOLOGY	2009	3019629	0.624080320956	6587.1555388
TECHNOLOGY	2010	2931206	-0.102768157338	8026.15575966
TECHNOLOGY	2011	2730911	-0.141621159319	10706.053948
TECHNOLOGY	2012	2423862	-0.112065284608	9460.33301963
TECHNOLOGY	2013	2272267	0.329208093418	12028.101456
TECHNOLOGY	2014	1846589	-0.0912747714762	15632.2525431
TECHNOLOGY	2015	1558132	-0.0541293084241	16588.7753411
TECHNOLOGY	2016	1549019	0.0601321105282	16373.7877496
TECHNOLOGY	2017	1507362	0.262607402087	20815.0153031
TECHNOLOGY	2018	1628527	0.150506159114	25605.4604665
TRANSPORTATION	2008	1901867	-0.786387559503	132757.393108
TRANSPORTATION	2009	1773745	-0.584926208871	30177.2040002
TRANSPORTATION	2010	1322128	-0.303416189362	12413.838702
TRANSPORTATION	2011	1216787	-0.139565143921	7174.06353216
TRANSPORTATION	2012	1043952	-0.0801493146899	5988.82180978
TRANSPORTATION	2013	1005276	-0.272792952579	7179.71885421
TRANSPORTATION	2014	1083372	-0.21019493505	4556.37285008
TRANSPORTATION	2015	1145166	-0.104299008234	3604.19726274
TRANSPORTATION	2016	1090250	-0.0502914786479	17536.6285573
TRANSPORTATION	2017	964557	-0.990308477889	8340.12060798
TRANSPORTATION	2018	876992	0.00867988099714	4245.20387054
