EAF	267757.134589%	0.00200000009499	24.3640003204	1245139.03846
ORGS	217415.926128%	0.00313999992795	19.9200000763	8570.9623431
PUB	179900.004023%	0.00899999961257	138.0	34449.4007092
RMP	121081.601901%	0.0299999993294	79.8187332153	120487.047671
CTZ	120300.00231%	0.00499999988824	26.8400001526	52050.2730807
CCD	111250.004778%	0.0149999996647	25.9799995422	105416.892662
SAB	110428.769954%	1.3654999733	319600.0	1695378.01632
KE	99400.0003166%	0.0149999996647	22.4500007629	73249.8461538
LN	96699.9992053%	0.0149999996647	51.4799995422	394344.929641
GHG	64850.0003073%	0.00499999988824	25.1000003815	607659.292629
